ID,Work Item Type,Title,Assigned To,State,Area Path,Tags,Comment Count,Description
"79","Task","12 - Using MSIX app attach ",,"New","WVD Guidance",,"0","<span style="""">What is MSIX app attach:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/what-is-app-attach"" style="""">https://docs.microsoft.com/en-us/azure/virtual-desktop/what-is-app-attach<br></a><span style="""">Set up MSIX app attach:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/app-attach"" style="""">https://docs.microsoft.com/en-us/azure/virtual-desktop/app-attach<br></a><span style="""">MSIX app attach FAQ:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/app-attach-faq"" style="""">https://docs.microsoft.com/en-us/azure/virtual-desktop/app-attach-faq</a><span style=""""><br></span><br>"
"78","Task","11 - FSLogix General Configuration",,"New","WVD Guidance",,"0","<span>Use
FSLogix Group Policy Template Files:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/fslogix/use-group-policy-templates-ht"">https://docs.microsoft.com/en-us/fslogix/use-group-policy-templates-ht</a><br><span><br></span><div><span>Profile
Container registry configuration reference:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/fslogix/profile-container-configuration-reference"">https://docs.microsoft.com/en-us/fslogix/profile-container-configuration-referenc</a><br><span><br></span> </div><div><span>Antivirus
     exclusions: </span><a href=""https://docs.microsoft.com/en-us/azure/architecture/example-scenario/wvd/windows-virtual-desktop-fslogix#antivirus-exclusions"">https://docs.microsoft.com/en-us/azure/architecture/example-scenario/wvd/windows-virtual-desktop-fslogix#antivirus-exclusions</a> </div><div><br> </div><div>FSLogix Reference Links: </div><div><ul><li><a href=""https://www.youtube.com/watch?v=9S5A1IJqfOQ&amp;t=647s"">Azure Academy - FSLogix with Azure Fileshare</a> </li><li><a href=""https://www.youtube.com/watch?v=bswIbTB62mY"">Azure Academy - NetApp</a> </li> </ul> </div><div><div><b style="""">GPO Recommendations:</b><br> </div><div><ul><li><span>Enabled
*** - Mandatory:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/fslogix/configure-profile-container-tutorial#configure-profile-container-registry-settings"">https://docs.microsoft.com/en-us/fslogix/configure-profile-container-tutorial#configure-profile-container-registry-settings</a> </li><li><span>VHD
Location *** - Mandatory:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/fslogix/configure-profile-container-tutorial#configure-profile-container-registry-settings"">https://docs.microsoft.com/en-us/fslogix/configure-profile-container-tutorial#configure-profile-container-registry-settings</a><br> </li><li><span>Initiate
definition update on start up:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/windows/security/threat-protection/microsoft-defender-antivirus/manage-event-based-updates-microsoft-defender-antivirus#use-group-policy-to-download-updates-when-microsoft-defender-antivirus-is-not-present"">https://docs.microsoft.com/en-us/windows/security/threat-protection/microsoft-defender-antivirus/manage-event-based-updates-</a><a href=""https://docs.microsoft.com/en-us/windows/security/threat-protection/microsoft-defender-antivirus/manage-event-based-updates-microsoft-defender-antivirus#use-group-policy-to-download-updates-when-microsoft-defender-antivirus-is-not-present"">microsoft-defender-antivirus#use-group-policy-to-download-updates-when-microsoft-defender-antivirus-is-not-present</a> </li><li><span>Specify
interval to check for definition updates:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/windows/security/threat-protection/microsoft-defender-antivirus/manage-protection-update-schedule-microsoft-defender-antivirus#use-group-policy-to-schedule-protection-updates"">https://docs.microsoft.com/en-us/windows/security/threat-protection/microsoft-defender-antivirus/manage-protection-update-schedule-microsoft-defender-antivirus#use-group-policy-to-schedule-protection-updates</a><br> </li><li><span>Define
number of days before virus definitions are considered out of date:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/windows/security/threat-protection/microsoft-defender-antivirus/manage-outdated-endpoints-microsoft-defender-antivirus#use-group-policy-to-specify-the-number-of-days-before-protection-is-considered-out-of-date"">https://docs.microsoft.com/en-us/windows/security/threat-protection/microsoft-defender-antivirus/manage-outdated-endpoints-microsoft-defender-antivirus#use-group-policy-to-specify-the-number-of-days-before-protection-is-considered-out-of-date</a><br> </li><li><span>Define
the number of days before spyware definitions are considered out of date:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/windows/security/threat-protection/microsoft-defender-antivirus/manage-outdated-endpoints-microsoft-defender-antivirus#use-group-policy-to-specify-the-number-of-days-before-protection-is-considered-out-of-date"">https://docs.microsoft.com/en-us/windows/security/threat-protection/microsoft-defender-antivirus/manage-outdated-endpoints-microsoft-defender-antivirus#use-group-policy-to-specify-the-number-of-days-before-protection-is-considered-out-of-date</a><br> </li><li><span>Define
the number of days before a catchup day is required:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/windows/security/threat-protection/microsoft-defender-antivirus/manage-outdated-endpoints-microsoft-defender-antivirus#use-group-policy-to-enable-and-configure-the-catch-up-update-feature"">https://docs.microsoft.com/en-us/windows/security/threat-protection/microsoft-defender-antivirus/manage-outdated-endpoints-microsoft-defender-antivirus#use-group-policy-to-enable-and-configure-the-catch-up-update-feature</a><br> </li><li><span>Check
for latest virus and spyware definitions on startup:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/windows/security/threat-protection/microsoft-defender-antivirus/manage-event-based-updates-microsoft-defender-antivirus#check-for-protection-updates-on-startup"">https://docs.microsoft.com/en-us/windows/security/threat-protection/microsoft-defender-antivirus/manage-event-based-updates-microsoft-defender-antivirus#check-for-protection-updates-on-startup</a><br> </li><li><span>Allow
real time definition updates on report to microsoft MAPS:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/windows/security/threat-protection/microsoft-defender-antivirus/manage-event-based-updates-microsoft-defender-antivirus#use-group-policy-to-automatically-download-recent-updates-based-on-cloud-delivered-protection"">https://docs.microsoft.com/en-us/windows/security/threat-protection/microsoft-defender-antivirus/manage-event-based-updates-microsoft-defender-antivirus#use-group-policy-to-automatically-download-recent-updates-based-on-cloud-delivered-protection</a><br> </li><li><span>Allow
definition updates from microsoft update:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/windows/security/threat-protection/microsoft-defender-antivirus/manage-updates-mobile-devices-vms-microsoft-defender-antivirus#use-group-policy-to-opt-in-to-microsoft-update"">https://docs.microsoft.com/en-us/windows/security/threat-protection/microsoft-defender-antivirus/manage-updates-mobile-devices-vms-microsoft-defender-antivirus#use-group-policy-to-opt-in-to-microsoft-update</a><br> </li><li><span>Dynamic
VHDX allocation:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/fslogix/profile-container-configuration-reference#isdynamic"">https://docs.microsoft.com/en-us/fslogix/profile-container-configuration-reference#isdynamic</a><br> </li><li><span>Extension
Exclusions:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/windows/security/threat-protection/microsoft-defender-antivirus/configure-extension-file-exclusions-microsoft-defender-antivirus#use-group-policy-to-configure-folder-or-file-extension-exclusions"">https://docs.microsoft.com/en-us/windows/security/threat-protection/microsoft-defender-antivirus/configure-extension-file-exclusions-microsoft-defender-antivirus#use-group-policy-to-configure-folder-or-file-extension-exclusions</a><br> </li><li><span>SID
directory name matching string:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/fslogix/profile-container-configuration-reference#siddirnamematch"">https://docs.microsoft.com/en-us/fslogix/profile-container-configuration-reference#siddirnamematch</a><br> </li><li><span>SID
directory name pattern string:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/fslogix/profile-container-configuration-reference#siddirnamepattern"">https://docs.microsoft.com/en-us/fslogix/profile-container-configuration-reference#siddirnamepattern</a><br> </li><li><span>Swap
directory name components:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/fslogix/profile-container-configuration-reference#flipflopprofiledirectoryname"">https://docs.microsoft.com/en-us/fslogix/profile-container-configuration-reference#flipflopprofiledirectoryname</a><br> </li><li><span>Virtual
disk type should be VHDX:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/fslogix/profile-container-configuration-reference#volumetype"">https://docs.microsoft.com/en-us/fslogix/profile-container-configuration-reference#volumetype</a><br> </li><li><span>Size
in Mbs:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/fslogix/profile-container-configuration-reference#sizeinmbs"">https://docs.microsoft.com/en-us/fslogix/profile-container-configuration-reference#sizeinmbs</a><br> </li><li><span>Delete
local profile when FsLogix Profile should apply - Optional*:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/fslogix/profile-container-configuration-reference#deletelocalprofilewhenvhdshouldapply"">https://docs.microsoft.com/en-us/fslogix/profile-container-configuration-reference#deletelocalprofilewhenvhdshouldapply</a><br> </li><li><span>Prevent
Login with failure - Optional*:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/fslogix/profile-container-configuration-reference#preventloginwithfailure"">https://docs.microsoft.com/en-us/fslogix/profile-container-configuration-reference#preventloginwithfailure</a><br> </li><li><span>Prevent
login with temp profile -Optional:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/fslogix/profile-container-configuration-reference#preventloginwithtempprofile"">https://docs.microsoft.com/en-us/fslogix/profile-container-configuration-reference#preventloginwithtempprofile</a><br> </li> </ul> </div><div><br> </div> </div>"
"77","Task","10 - Define a strategy to store FSLogix profiles containers",,"New","WVD Guidance",,"0","<div>Storage
options for FSLogix Profile containers: <a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/store-fslogix-profile"">https://docs.microsoft.com/en-us/azure/virtual-desktop/store-fslogix-profile</a><br> </div><div><ol><li>Azure
Files and Active Directory Domain Services:&nbsp;<a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/create-file-share"">https://docs.microsoft.com/en-us/azure/virtual-desktop/create-file-share</a><br> </li><li>Azure NetApp Files:&nbsp;<a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/create-fslogix-profile-container"">https://docs.microsoft.com/en-us/azure/virtual-desktop/create-fslogix-profile-container</a> </li><li>Windows File Server:&nbsp;<a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/create-host-pools-user-profile"">https://docs.microsoft.com/en-us/azure/virtual-desktop/create-host-pools-user-profile</a> </li><li>Azure Files and Azure Active Directory Domain Services:&nbsp;<a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/create-profile-container-adds"">https://docs.microsoft.com/en-us/azure/virtual-desktop/create-profile-container-adds</a> </li> </ol> </div>"
"76","Task","09 - Image Management",,"New","WVD Guidance",,"0","<div><a href=""https://www.youtube.com/watch?v=PCWJEoG8X-I"">Azure Academy - Image Management</a> </div><div><a href=""https://www.youtube.com/watch?v=2LxvwR9LGWQ"">Azure Academy - Shared Image Galley</a> </div>"
"74","Task","07 - Assign users to Groups",,"New","WVD Guidance",,"0","<span style="""">Assign users to Groups:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/active-directory/fundamentals/active-directory-groups-members-azure-portal"" style="""">https://docs.microsoft.com/en-us/azure/active-directory/fundamentals/active-directory-groups-members-azure-portal</a><span style=""""><br></span><br>"
"72","Task","05 - Windows Virtual Desktop environment concepts",,"New","WVD Guidance",,"0","<span style="""">Windows Virtual Desktop
     environment concepts:&nbsp;</span><a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/environment-setup"" style="""">https://docs.microsoft.com/en-us/azure/virtual-desktop/environment-setup</a><br><br><br>"
"71","Task","04 - Configure Azure AD Connect with AD DS",,"New","WVD Guidance",,"0","<span style="""">What is Azure AD Connect: </span><a href=""https://docs.microsoft.com/en-us/azure/active-directory/hybrid/whatis-azure-ad-connect"" style="""">https://docs.microsoft.com/en-us/azure/active-directory/hybrid/whatis-azure-ad-connect</a><br>Azure
AD connect and Azure AD Connect Health installation: <a href=""https://docs.microsoft.com/en-us/azure/active-directory/hybrid/how-to-connect-install-roadmap"">https://docs.microsoft.com/en-us/azure/active-directory/hybrid/how-to-connect-install-roadmap</a><br><br>"
"70","Task","03 - Deploy Azure infrastructure and AD DS",,"New","WVD Guidance",,"0","<div><a href=""https://docs.microsoft.com/en-us/azure/virtual-network/quick-create-portal"">Virtual
Network</a><br> </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-manage-subnet#add-a-subnet"">Subnet</a><br> </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/virtual-network/network-security-groups-overview"">NSG</a>&nbsp;(Permits
AD Traffic, RDP incoming traffic, restricts DMZ access)<br> </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/virtual-network/manage-virtual-network#change-dns-servers"">DNS
configured to point to the domain controller</a><br> </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/virtual-machines/windows/quick-create-portal"">Virtual
Machine</a>: </div><div><span style=""""></span> </div><div><ul><li><span style="""">Active
     Directory Domain Services installed and configured</span> </li><li>Azure
AD Connect installed and ready for configuration<br> </li> </ul> </div><div><br> </div>"
"69","Task","02 - Deploy an Azure Subscription",,"New","WVD Guidance",,"0","<div>Deploy
an Azure Subscription: <a href=""https://docs.microsoft.com/en-us/azure/cost-management-billing/manage/create-subscription"">https://docs.microsoft.com/en-us/azure/cost-management-billing/manage/create-subscription</a><br> </div>"
"67","Task","09 - Best Practices",,"New","WVD Guidance",,"0","<div>Best
practices for WVD: <a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/fslogix-containers-azure-files#best-practices-for-windows-virtual-desktop"">https://docs.microsoft.com/en-us/azure/virtual-desktop/fslogix-containers-azure-files#best-practices-for-windows-virtual-desktop</a><br> </div>"
"66","Task","08 - FSLogix",,"New","WVD Guidance",,"0","<div>FSLogix
for enterprise: <a href=""https://docs.microsoft.com/en-us/azure/architecture/example-scenario/wvd/windows-virtual-desktop-fslogix"">https://docs.microsoft.com/en-us/azure/architecture/example-scenario/wvd/windows-virtual-desktop-fslogix</a><br> </div><div><br> </div><div>Storage
options for FSLogix profile containers: <a href=""https://docs.microsoft.com/en-us/azure/architecture/example-scenario/wvd/windows-virtual-desktop-fslogix#storage-options-for-fslogix-profile-containers"">https://docs.microsoft.com/en-us/azure/architecture/example-scenario/wvd/windows-virtual-desktop-fslogix#storage-options-for-fslogix-profile-containers</a><br> </div><div><br> </div><div>Azure
Files Best practices: <a href=""https://docs.microsoft.com/en-us/azure/architecture/example-scenario/wvd/windows-virtual-desktop-fslogix#azure-files-best-practices"">https://docs.microsoft.com/en-us/azure/architecture/example-scenario/wvd/windows-virtual-desktop-fslogix#azure-files-best-practices</a><br> </div><div><br> </div><div>Azure
NetApp Files Best Practices: <a href=""https://docs.microsoft.com/en-us/azure/architecture/example-scenario/wvd/windows-virtual-desktop-fslogix#azure-netapp-files-best-practices"">https://docs.microsoft.com/en-us/azure/architecture/example-scenario/wvd/windows-virtual-desktop-fslogix#azure-netapp-files-best-practices</a><br> </div>"
"65","Task","07 - WVD Architecture Sample",,"New","WVD Guidance",,"0","<div><div>WVD
Architecture sample: <a href=""https://docs.microsoft.com/en-us/azure/architecture/example-scenario/wvd/windows-virtual-desktop#architecture"">https://docs.microsoft.com/en-us/azure/architecture/example-scenario/wvd/windows-virtual-desktop#architecture</a><br> </div> </div>"
"63","Task","05 - Windows Virtual Desktop experience estimator",,"New","WVD Guidance",,"0","<div>Windows
Virtual Desktop experience estimator: <a href=""https://docs.microsoft.com/en-us/windows-server/remote/remote-desktop-services/network-guidance?context=/azure/virtual-desktop/context/context#windows-virtual-desktop-experience-estimator"">https://docs.microsoft.com/en-us/windows-server/remote/remote-desktop-services/network-guidance?context=/azure/virtual-desktop/context/context#windows-virtual-desktop-experience-estimator</a><br> </div>"
"62","Task","04 - Network guidelines",,"New","WVD Guidance",,"0","<div>Network
guidelines: <a href=""https://docs.microsoft.com/en-us/windows-server/remote/remote-desktop-services/network-guidance?context=/azure/virtual-desktop/context/context"">https://docs.microsoft.com/en-us/windows-server/remote/remote-desktop-services/network-guidance?context=/azure/virtual-desktop/context/context</a><br> </div>"
"60","Task","02 - WVD Requirements",,"New","WVD Guidance",,"0","<div>WVD
Requirements: <a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/overview#requirements"">https://docs.microsoft.com/en-us/azure/virtual-desktop/overview#requirements</a><br> </div>"
"59","Task","01 - What is WVD",,"New","WVD Guidance",,"0","<div>What
is WVD: <a href=""https://docs.microsoft.com/en-us/azure/virtual-desktop/overview"">https://docs.microsoft.com/en-us/azure/virtual-desktop/overview</a><br> </div>"
